CNPJ;ID_ESFERA
08739351000120;1
07434768000112;1
07903977000168;1
08516051000182;1
08573654000116;1
08586605000118;1
08664071000109;1
08701708000262;1
08730903000130;1
08730943000181;1
08732299000180;1
08737785000191;1
08739625000343;1
08739930000335;1
08740102000155;1
08741688000172;1
08753204000610;1
08754111000790;1
08767154000204;1
08778318000100;1
08778318000533;1
08785479000120;1
08785479000635;1
08788903000514;1
08789299000206;1
08790172000118;1
08806721000103;1
08806747000143;1
08809444000184;1
08865636000884;1
08865636000965;1
08865933000153;1
08866962000130;1
08867806000193;1
08868515000209;1
08869513000145;1
08869554000131;1
08870172000128;1
08872467000133;1
01612372000131;1
01612372000212;1
01612471000113;1
01612638000146;1
01612693000136;1
01613168000135;1
01613316000111;1
01613339000126;1
01615653000148;1
01617975000398;1
02575346000143;1
03318829000125;1
03474378000115;1
04342393000172;1
04424111000186;1
04424158000140;1
04424183000123;1
04440591000179;1
04691419000198;1
04926318000159;1
05622735000170;1
06070623000117;1
06071343000123;1
06072196000106;1
06074118000140;1
06076078000176;1
06081535000110;1
06091351000131;1
06093700000154;1
06115783000135;1
07485988000175;1
07775590000173;1
08610110000187;1
08683333000174;1
08698105000178;1
08699269000110;1
08702573000179;1
08928517000157;1
08928517000319;1
08940702000167;1
08948697000139;1
08993925000192;1
08993925000273;1
08993925000435;1
08996886000268;1
08996886000500;1
08999674000749;1
08999682000280;1
09012493000154;1
09067562000208;1
09070624000230;1
09070624000583;1
09072448000608;1
09073297000190;1
09084054000238;1
09084815000251;1
09090689000329;1
09151473000245;1
09151473000326;1
09151796000824;1
09159666001133;1
09197044000128;1
09291765000100;1
10202434000128;1
10595024000194;1
10948421000100;1
11181651000141;1
11232760000140;1
11264183000179;1
11404679000109;1
11404727000150;1
11442838000151;1
11459820000162;1
11494230000170;1
08732273000132;1
08749525000640;1
08753204000105;1
08767154000387;1
08778029000453;1
08778755000204;1
08788903000603;1
08788903000786;1
08790172000622;1
08806754000307;1
08806754000730;1
08806754000811;1
08806754001389;1
08809089000143;1
08865636000299;1
08868515000624;1
08869489000306;1
08869497000190;1
08874984000141;1
08876104000419;1
08881567000479;1
08881666000370;1
08881666000884;1
08883217000603;1
08883951000400;1
08883951000753;1
08884066000608;1
08891830000168;1
08892967000137;1
08898124000229;1
08898124000571;1
08898256000765;1
08899940000419;1
08902934000201;1
08902934000554;1
08902934000635;1
08902934000805;1
08916645000423;1
08874695000142;1
08874885000160;1
08876104000338;1
08881666000450;1
08881666000612;1
08882730000175;1
08882730000507;1
08883951000249;1
08917106000751;1
08920571000318;1
08920571000580;1
08921876000344;1
08921876000506;1
08922718000570;1
08922718000732;1
08922718000902;1
08923989000117;1
08924029000252;1
08924078000104;1
08924581000160;1
08924581000755;1
08924813000694;1
08925968000726;1
08926263000138;1
08926263000480;1
08927105000445;1
08927105000879;1
08927915000159;1
08928517000408;1
08928517000580;1
08928517000661;1
08929648000159;1
08929648000400;1
08929648000582;1
08939944000130;1
08945727000587;1
08964953000181;1
08993909000108;1
08993909000604;1
08993925000354;1
08732174000231;1
08740466000135;1
08749525000217;1
08749525000306;1
08753204000709;1
08753204000962;1
08767154000549;1
08769311000121;1
08778318000290;1
08778318000452;1
08781791000812;1
08787392000192;1
08788903000190;1
08788903000271;1
08790172000380;1
08790172000460;1
08790172000894;1
08800265000186;1
08806754000145;1
08809444000346;1
08809444000427;1
08864837000190;1
08865628000161;1
08868515000462;1
08869489000225;1
08873234000155;1
08876104000176;1
08876104000680;1
08881567000550;1
08881666000299;1
08882524000165;1
08882730000337;1
08883951000168;1
08883951000320;1
08883969000160;1
08883969000240;1
08883969000321;1
08884066000284;1
08894859000527;1
11739873000137;1
11799820000101;1
11898585000125;1
11956278000153;1
12012235000182;1
12113020000158;1
12229182000156;1
12328153000141;1
12457150000108;1
12460136000163;1
12556838000145;1
12607705000150;1
12620525000109;1
12724605000104;1
12755991000100;1
12760148000103;1
12763482000110;1
12769312000143;1
12778540000180;1
12784607000199;1
12867598000108;1
12899907000113;1
13070749000157;1
13223705000110;1
13505504000105;1
13884126000118;1
15546113000164;1
15823009000170;1
16559788000100;1
16943591000170;1
17065060000195;1
17955315000195;1
18018710000104;1
01612636000157;1
01612690000100;1
01612692000191;1
01612986000202;1
01681179000152;1
01795508000196;1
02090303000178;1
02334476000194;1
02670493000100;1
02739758000171;1
03820556000112;1
04044191000144;1
04047440000155;1
